query,gold_answer,source_file,parser_type,field
"""优化营商环境政策打折扣"" 的印证资料包括哪些？",（1）《关于修订低压“零费用”接入实施方案的通知》（鄂电司营销〔2022〕51号）； （2）《GWjz供电公司关于印发业扩报装业务工作规范要点的通知》（鄂电司jz供营销〔2025〕23号）； （3）《GWjz供电公司关于印发开展“零费用”报装合规问题专项整治工作方案的通知》（鄂电司jz供营销〔2024〕21号）； （4）《GWjz供电公司关于印发10千伏及以下业扩配套电网项目优化实施方案的通知》（鄂电司jz供〔2022〕31号）； （5）低压非居民用户台账； （6）高压用户台账； （7）160千瓦及以下用户高压接入的“书面申明”。,zhjgfa20260116V4 - 副本.docx,structured,印证资料
"""优化营商环境政策打折扣"" 的整改措施是什么？",严格执行GW《关于进一步规范业扩报装“白名单”管理和线上办电业务受理工作的通知》《营销营商〔2025〕110 号》要求，开展“白名单”质检工作，对报送不真实、佐证资料不齐全等问题，严格纳入时限达标率考核。落实新版《供用电规则》及“三零”服务相关政策，实行“首问负责、一次性告知”，严格落实投资界面要求，特殊原因无法低压接入的，规范签订书面申明。对因电网改造升级工程需要，无法满足规定接电时限要求的，依照（华中能监稽查【2025】115号）文实施备案。,zhjgfa20260116V4 - 副本.docx,structured,整改措施
"""优化营商环境政策打折扣"" 的监管依据是什么？",电力监管机构对供电企业办理用电业务的情况实施监管。《供电监管办法》第11条、第34条。,zhjgfa20260116V4 - 副本.docx,structured,监管依据
"""优化营商环境政策打折扣"" 的问题描述是什么？",供电企业内部管理制度不合理，业扩报装“白名单”管理不规范；存在报装容量160千瓦以下的民营经济组织未享受“三零”服务、违规扩大“零投资”项目建设范围等，“获得电力”政策执行有偏差。,zhjgfa20260116V4 - 副本.docx,structured,问题描述
"""低电压、频繁停电治理不彻底"" 的印证资料包括哪些？",（1）配电网低电压、重过载、频繁停电治理方案； （2）频繁停电线路和台区台账、治理的相关措施及成效； （3）故障停运督办单、生产任务单等相关材料； （4）配网主动运维如清树障、除鸟窝、装快融、防外破等相关通报督办材料； （5）整理配网故障停运典型案例专题分析及治理材料； （6）jz公司相关主动运维、故障抢修等宣贯材料及各单位实施方案； （7）GWjz供电公司配网运维指导手册； （8）配网“低电压”预防治理指导手册； （9）季度、半年、年度、迎峰度夏、迎峰度冬配网运行分析报告； （10）日、周、月度低电压通报材料； （11）低电压治理工作票及成效评估材料（含一周三台区、调档、三相平衡、ARB移相装置等）； （12）低电压治理的相关票单及现场治理照片； （13）电压监测点设置台账； （14）电压异常监测点的分析报告及现场治理相关票单、照片印证材料。,zhjgfa20260116V4 - 副本.docx,structured,印证资料
"""低电压、频繁停电治理不彻底"" 的整改措施是什么？",提升配网巡检质效。加强配网巡视运维力度，强化隐患缺陷发现、处置、评价全流程闭环管控机制，提升运检质效。加大配网建设力度，做好台区低电压、用户低电压等薄弱环节改造，推进配电网巩固提升。持续提升供电可靠性，大力推广不停电作业，推进全电压、全类型、全地形覆盖，减少停电影响；全力推进全自化FA策略投运、配电自动化开关布点以及配自终端运维消缺工作，加快故障处置由“人工处置”向“智慧自愈”转变。加强电压主动监测预警，强化低电压问题数据分析，深入查找低电压成因，按照“先运维、后项目”的原则，开展低电压问题快速治理，实现低电压问题动态清零。,zhjgfa20260116V4 - 副本.docx,structured,整改措施
"""低电压、频繁停电治理不彻底"" 的监管依据是什么？",电力监管机构对供电企业的供电质量实施监管《供电监管办法》第7条、第8条、第34条。,zhjgfa20260116V4 - 副本.docx,structured,监管依据
"""低电压、频繁停电治理不彻底"" 的问题描述是什么？",部分地区在2024 年频繁停电专项治理完成后，停电现象依然存在，部分单位线路全线停电问题仍有发生，影响用户正常用电。,zhjgfa20260116V4 - 副本.docx,structured,问题描述
"""供电企业向用户受电工程提供服务不规范"" 的印证资料包括哪些？",（1）《国家电网有限公司业扩报装管理规则》（国家电网企管〔2019〕431号）； （2）《关于执行10（20）千伏业扩报装项目竣工检验标准作业卡的通知》（营销电传〔2025〕74号）； （3）用户新装（增容）竣工验收资料； （4）用电业扩办理告知书； （5）用户受电工程典型设计及预算。,zhjgfa20260116V4 - 副本.docx,structured,印证资料
"""供电企业向用户受电工程提供服务不规范"" 的整改措施是什么？",在供电方答复后应主动向用户推送《10（20）千伏业扩报装项目竣工检验标准作业卡》，并严格对照开展验收。严禁执行差异化的审查、验收标准，或者采取不受理、不通过、拖延设计图纸审查、中间检查及竣工检验等方式、影响用户选择设计、施工、设备材料供应单位。重要电力用户、居民住宅小区受电工程施工期间，应当根据审核同意的设计和有关施工标准，对用户受电工程隐蔽工程进行中间检查和竣工验收，如有不符合规定或缺陷的，应一次性向用户提出书面意见，指导用户按照设计和施工标准予以改正。,zhjgfa20260116V4 - 副本.docx,structured,整改措施
